id,label,cLabelIdx,cCntryCode,cLCControlNumber,UpName
1,Verve,VERVE,,,VERVE
2,Columbia,COLUMBIA,,,COLUMBIA
3,Concord,CONCORD,,,CONCORD
4,EMI,EMI,,,EMI
5,Capitol,CAPITOL,,,CAPITOL
6,Reprise,REPRISE,,,REPRISE
7,Elektra,ELEKTRA,,,ELEKTRA
8,RCA,RCA,,,RCA
9,Polydor,POLYDOR,,,POLYDOR
10,LaserLight,LASERLIGHT,,,LASERLIGHT
11,Bravura,BRAVURA,,,BRAVURA
12,CBS,CBS,,,CBS
13,Fantasy,FANTASY,,,FANTASY
14,Parlophone,PARLOPHONE,,,PARLOPHONE
15,EmArcy,EMARCY,,,EMARCY
16,Musical Heritage Society,MUSICAL HERITAGE SOCIETY,,,MUSICAL HERITAGE SOCIETY
17,Atlantic Jazz,ATLANTIC JAZZ,,,ATLANTIC JAZZ
18,Atlantic,ATLANTIC,,,ATLANTIC
19,Decca,DECCA,,,DECCA
20,Bethlehem,BETHLEHEM,,,BETHLEHEM
21,Impulse!,IMPULSE,,,IMPULSE!
22,Deutsche Grammophone,DEUTSCHE GRAMMOPHONE,,,DEUTSCHE GRAMMOPHONE
23,Philips,PHILIPS,,,PHILIPS
24,A&M,A&M,,,A&M
25,Qwest,QWEST,,,QWEST
26,Ode,ODE,,,ODE
27,Painted Smiles Records,PAINTED SMILES RECORDS,,,PAINTED SMILES RECORDS
28,Cirrus,CIRRUS,,,CIRRUS
29,Savoy Jazz,SAVOY JAZZ,,,SAVOY JAZZ
30,Deja Vu,DEJA VU,,,DEJA VU
31,Jazz Heritage,JAZZ HERITAGE,,,JAZZ HERITAGE
32,Pablo,PABLO,,,PABLO
33,Telarc,TELARC,,,TELARC
34,Prestige,PRESTIGE,,,PRESTIGE
35,Asylum,ASYLUM,,,ASYLUM
36,GRP,GRP,,,GRP
37,Arista,ARISTA,,,ARISTA
38,Command,COMMAND,,,COMMAND
39,Mosaic,MOSAIC,,,MOSAIC
40,Sandy Hook,SANDY HOOK,,,SANDY HOOK
41,MusicMasters,MUSICMASTERS,,,MUSICMASTERS
42,Capitol Jazz,CAPITOL JAZZ,,,CAPITOL JAZZ
43,Mercury,MERCURY,,,MERCURY
44,Natasha Imports,NATASHA IMPORTS,,,NATASHA IMPORTS
45,LRC Ltd.,LRC LTD,,,LRC LTD.
46,Decade,DECADE,,,DECADE
47,Pair,PAIR,,,PAIR
48,Stash,STASH,,,STASH
49,Proarte,PROARTE,,,PROARTE
50,Roost,ROOST,,,ROOST
51,Vintage Jazz Classics,VINTAGE JAZZ CLASSICS,,,VINTAGE JAZZ CLASSICS
52,Musicraft,MUSICRAFT,,,MUSICRAFT
53,Blue Note,BLUE NOTE,,,BLUE NOTE
54,MCA,MCA,,,MCA
55,Evening Star,EVENING STAR,,,EVENING STAR
56,DRG,DRG,,,DRG
57,Legacy International,LEGACY INTERNATIONAL,,,LEGACY INTERNATIONAL
58,Angel,ANGEL,,,ANGEL
59,Sire,SIRE,,,SIRE
60,Bluebird,BLUEBIRD,,,BLUEBIRD
61,Contemporary,CONTEMPORARY,,,CONTEMPORARY
62,Antilles,ANTILLES,,,ANTILLES
63,Manhattan,MANHATTAN,,,MANHATTAN
64,Encore,ENCORE,,,ENCORE
65,Debut,DEBUT,,,DEBUT
66,Enja,ENJA,,,ENJA
67,r'n'd,RND,,,R'N'D
68,K-tel,K-TEL,,,K-TEL
69,Pacific Jazz,PACIFIC JAZZ,,,PACIFIC JAZZ
70,Warner Bros.,WARNER BROS,,,WARNER BROS.
71,Wilbury,WILBURY,,,WILBURY
72,Portrait,PORTRAIT,,,PORTRAIT
73,Roulette,ROULETTE,,,ROULETTE
74,Cema,CEMA,,,CEMA
75,BBC Music,BBC MUSIC,,,BBC MUSIC
76,Private Music,PRIVATE MUSIC,,,PRIVATE MUSIC
77,Epic,EPIC,,,EPIC
78,Axiom,AXIOM,,,AXIOM
79,Fresh Sound,FRESH SOUND,,,FRESH SOUND
80,JMT,JMT,,,JMT
81,Geffen,GEFFEN,,,GEFFEN
82,Riverside,RIVERSIDE,,,RIVERSIDE
83,550 Music,550 MUSIC,,,550 MUSIC
84,Voice,VOICE,,,VOICE
85,Skifan,SKIFAN,,,SKIFAN
86,Novus,NOVUS,,,NOVUS
87,Smekkleysa,SMEKKLEYSA,,,SMEKKLEYSA
88,Archive,ARCHIVE,,,ARCHIVE
89,Rhino,RHINO,,,RHINO
90,American,AMERICAN,,,AMERICAN
91,Alert,ALERT,,,ALERT
92,ECM,ECM,,,ECM
93,Windam Hill Jazz,WINDAM HILL JAZZ,,,WINDAM HILL JAZZ
94,JRRecords,JRRECORDS,,,JRRECORDS
95,Liberty,LIBERTY,,,LIBERTY
96,TVT Records,TVT RECORDS,,,TVT RECORDS
97,Japis,JAPIS,,,JAPIS
98,EMI Classics,EMI CLASSICS,,,EMI CLASSICS
99,Jazzis,JAZZIS,,,JAZZIS
100,Jazztime/Jazzline,JAZZTIME/JAZZLINE,,,JAZZTIME/JAZZLINE
101,Charly,CHARLY,,,CHARLY
102,MCA Classics,MCA CLASSICS,,,MCA CLASSICS
103,"King Record Co., Ltd.",KING RECORD CO LTD,Ja,,"KING RECORD CO., LTD."
104,Original Jazz Classics,ORIGINAL JAZZ CLASSICS,,,ORIGINAL JAZZ CLASSICS
105,Sony Music Special Products,SONY MUSIC SPECIAL PRODUCTS,,,SONY MUSIC SPECIAL PRODUCTS
106,Columbia Legacy,COLUMBIA LEGACY,,,COLUMBIA LEGACY
107,Evidence,EVIDENCE,,,EVIDENCE
108,BMG,BMG,,,BMG
109,Jazz Hour,JAZZ HOUR,,,JAZZ HOUR
110,Dreyfus Jazz,DREYFUS JAZZ,,,DREYFUS JAZZ
111,Audiophile,AUDIOPHILE,,,AUDIOPHILE
112,Virgin,VIRGIN,,,VIRGIN
113,Abkco,ABKCO,,,ABKCO
114,Hindsight,HINDSIGHT,,,HINDSIGHT
115,Silk City Recording Compa,SILK CITY RECORDING COMPA,,,SILK CITY RECORDING COMPA
116,Koch Screen,KOCH SCREEN,,,KOCH SCREEN
117,Tomato,TOMATO,,,TOMATO
118,Artisan,ARTISAN,,,ARTISAN
119,Quicksilver,QUICKSILVER,,,QUICKSILVER
120,Bar/None,BAR/NONE,,,BAR/NONE
121,Motown,MOTOWN,,,MOTOWN
122,Muse,MUSE,,,MUSE
123,Private issue,PRIVATE ISSUE,,,PRIVATE ISSUE
