"id","title","sort_title","song_form_id","description","contrafact_id","created_at","updated_at"
1,"Rose Of Mandalay","ROSE OF MANDALAY",6,,,,
2,"(Anyone Can See With Half An Eye) I'm Crazy Over You","IM CRAZY OVER YOU",6,,,,
4,"My Angeline","MY ANGELINE",6,,,,
5,"Little Pal","LITTLE PAL",6,,,,
6,"Oh! Miss Hannah","OH MISS HANNAH",6,,,,
7,"Orange Blossom Time","ORANGE BLOSSOM TIME",6,,,,
8,"Waiting At The End Of The Road","WAITING AT THE END OF THE ROAD",6,,,,
9,"Southern Medley","SOUTHERN MEDLEY",6,,,,
10,"I'm Sorry Dear","IM SORRY DEAR",6,,,,
11,"Can't We Talk It Over","CANT WE TALK IT OVER",6,,,,
12,"I Found You","I FOUND YOU",6,,,,
13,"Snuggled On Your Shoulder","SNUGGLED ON YOUR SHOULDER",6,,,,
14,"Starlight","STARLIGHT",6,,,,
15,"Love You Funny Thing","LOVE YOU FUNNY THING",6,,,,
16,"Shine","SHINE",6,,,,
17,"Traneing In","TRANEING IN",6,,,,
18,"On A Roof In Manhattan","ON A ROOF IN MANHATTAN",6,,,,
19,"Shadows On The Window","SHADOWS ON THE WINDOW",6,,,,
20,"Paradise","PARADISE",6,,,,
21,"You're Still In My Heart","YOURE STILL IN MY HEART",6,,,,
22,"Lawd, You Made The Night Too Long","LAWD YOU MADE THE NIGHT TOO LONG",6,,,,
23,"Waltzing In A Dream","WALTZING IN A DREAM",6,,,,
24,"Happy-Go-Lucky-You And Broken-Hearted-Me","HAPPY-GO-LUCKY-YOU AND BROKEN-HEARTED-ME",6,,,,
25,"Lazy Day","LAZY DAY",6,,,,
26,"Let's Try Again","LETS TRY AGAIN",6,,,,
27,"With Summer Coming On","WITH SUMMER COMING ON",6,,,,
28,"Love Me Tonight","LOVE ME TONIGHT",6,,,,
29,"Some Of These Days","SOME OF THESE DAYS",6,,,,
30,"Linger A Little Longer In The Twilight","LINGER A LITTLE LONGER IN THE TWILIGHT",6,,,,
31,"We're A Couple Of Soldiers","WERE A COUPLE OF SOLDIERS",6,,,,
32,"Brother, Can You Spare A Dime?","BROTHER CAN YOU SPARE A DIME",6,,,,
33,"Sweet Sue, Just You","SWEET SUE JUST YOU",6,,,,
34,"Let's Put Out The Lights And Go To Sleep","LETS PUT OUT THE LIGHTS AND GO TO SLEEP",6,,,,
35,"I'll Follow You","ILL FOLLOW YOU",6,,,,
